The output is formatted as follows: 
pindex   time    deltaT    dlambda   trial  simp38   simp   trap 
51 100000 0.05 0.02 3 1.41674 1.41698 1.42334
51 100000 0.05 0.02 4 1.41674 1.41698 1.42334

52 100000 0.02 0.02 0 1.3861 1.38368 1.39175
52 100000 0.02 0.02 1 1.3861 1.38368 1.39175
52 100000 0.02 0.02 2 1.3861 1.38368 1.39175
52 100000 0.02 0.02 3 1.3861 1.38368 1.39175
52 100000 0.02 0.02 4 1.3861 1.38368 1.39175

53 100000 0.01 0.02 0 1.37179 1.37251 1.36992
53 100000 0.01 0.02 1 1.37179 1.37251 1.36992
53 100000 0.01 0.02 2 1.37179 1.37251 1.36992
53 100000 0.01 0.02 3 1.37179 1.37251 1.36992
53 100000 0.01 0.02 4 1.37179 1.37251 1.36992

54 100000 0.005 0.02 0 1.41714 1.41461 1.42217
54 100000 0.005 0.02 1 1.41714 1.41461 1.42217
54 100000 0.005 0.02 2 1.41714 1.41461 1.42217
54 100000 0.005 0.02 3 1.41714 1.41461 1.42217
54 100000 0.005 0.02 4 1.41714 1.41461 1.42217

55 100000 0.1 0.01 0 1.58369 1.58811 1.58708
55 100000 0.1 0.01 1 1.58369 1.58811 1.58708
55 100000 0.1 0.01 2 1.58369 1.58811 1.58708
55 100000 0.1 0.01 3 1.58369 1.58811 1.58708
55 100000 0.1 0.01 4 1.58369 1.58811 1.58708

56 100000 0.05 0.01 0 1.42281 1.42433 1.42412
56 100000 0.05 0.01 1 1.42281 1.42433 1.42412
56 100000 0.05 0.01 2 1.42281 1.42433 1.42412
56 100000 0.05 0.01 3 1.42281 1.42433 1.42412
56 100000 0.05 0.01 4 1.42281 1.42433 1.42412

57 100000 0.02 0.01 0 1.39305 1.3948 1.39243
57 100000 0.02 0.01 1 1.39305 1.3948 1.39243
57 100000 0.02 0.01 2 1.39305 1.3948 1.39243
57 100000 0.02 0.01 3 1.39305 1.3948 1.39243
57 100000 0.02 0.01 4 1.39305 1.3948 1.39243

58 100000 0.01 0.01 0 1.38446 1.38483 1.38189
58 100000 0.01 0.01 1 1.38446 1.38483 1.38189
58 100000 0.01 0.01 2 1.38446 1.38483 1.38189
58 100000 0.01 0.01 3 1.38446 1.38483 1.38189
58 100000 0.01 0.01 4 1.38446 1.38483 1.38189

59 100000 0.005 0.01 0 1.37172 1.37181 1.37321
59 100000 0.005 0.01 1 1.37172 1.37181 1.37321
59 100000 0.005 0.01 2 1.37172 1.37181 1.37321
59 100000 0.005 0.01 3 1.37172 1.37181 1.37321
59 100000 0.005 0.01 4 1.37172 1.37181 1.37321

60 500000 0.1 0.1 0 1.61778 1.61022 1.67071
60 500000 0.1 0.1 1 1.61778 1.61022 1.67071
60 500000 0.1 0.1 2 1.61778 1.61022 1.67071
